on x=-36..10,y=-44..1,z=-18..28
on x=-7..46,y=-3..48,z=-32..13
on x=-11..41,y=-24..30,z=-20..31
on x=-20..30,y=-47..-2,z=-27..21
on x=-11..36,y=-22..32,z=-9..44
on x=-48..5,y=-40..9,z=-49..3
on x=-23..21,y=-15..33,z=-27..24
on x=-44..7,y=-18..28,z=-28..20
on x=-4..48,y=-30..15,z=-5..40
on x=-25..28,y=-6..45,z=-12..37
off x=-1..15,y=-20..-7,z=40..49
on x=-9..35,y=-49..3,z=-14..39
off x=-42..-30,y=-3..13,z=-31..-21
on x=-10..35,y=-35..17,z=-16..31
off x=13..32,y=21..34,z=31..41
on x=-45..8,y=-14..35,z=-38..8
off x=-7..12,y=-38..-21,z=3..22
on x=2..48,y=-35..13,z=-26..18
off x=-2..13,y=-45..-34,z=21..31
on x=-10..38,y=-25..29,z=-7..39
on x=-28883..-15508,y=-45719..-19250,z=56543..85023
on x=-12548..-2670,y=30162..59686,z=48743..65546
on x=-78921..-48935,y=-58375..-40461,z=-10520..6680
on x=60459..69694,y=-39118..-9610,z=23410..40752
on x=-58993..-46464,y=34788..49715,z=24225..58919
on x=-65933..-59172,y=-59855..-28101,z=15518..30376
on x=71139..80625,y=2500..13619,z=2217..25098
on x=4121..18569,y=-18050..2029,z=60597..88243
on x=-62229..-28636,y=-71733..-45733,z=27808..50457
on x=51593..76990,y=38902..45907,z=-369..26292
on x=68985..96599,y=-17288..2120,z=-22861..271
on x=33104..64386,y=29057..55665,z=40253..58523
on x=-81466..-54567,y=8733..27282,z=-41215..-36144
on x=-34804..-15638,y=58589..76038,z=-7633..20193
on x=63492..75206,y=-46967..-27894,z=-31857..-14808
on x=15351..28152,y=13194..20955,z=70126..86947
on x=15635..22669,y=5152..32704,z=73208..87128
on x=68794..83406,y=-35783..-25729,z=-34499..611
on x=-56069..-53663,y=-54346..-28657,z=-34834..-22216
on x=43156..76066,y=27637..45059,z=-47820..-23733
on x=-7711..3045,y=-15369..-10641,z=-79312..-63232
on x=43441..54152,y=-50110..-43904,z=37321..47410
on x=37294..75033,y=38364..67854,z=-20476..1157
on x=33388..53211,y=-67459..-48539,z=-10662..13639
on x=-79542..-57726,y=22115..25011,z=-45772..-23453
on x=58873..78039,y=-50697..-37524,z=-12235..18506
on x=-48962..-34784,y=11652..37386,z=45532..84431
on x=-76170..-57572,y=46417..54598,z=15783..30309
on x=-15755..6100,y=-61498..-53921,z=50597..61974
on x=-6806..20000,y=-23020..12532,z=70539..85001
on x=-5720..16234,y=-55004..-34338,z=-72531..-66790
on x=52008..79539,y=-29253..-1374,z=20347..53617
on x=-17897..-9708,y=-37245..-4510,z=-87664..-60248
on x=-61794..-42398,y=38848..66317,z=-44362..-16971
on x=-24978..-4568,y=52963..66034,z=43492..60015
on x=7791..33094,y=56170..69087,z=33048..42256
on x=-28232..-9944,y=-58134..-55076,z=39582..72486
on x=13368..20524,y=-15360..9002,z=-91847..-66065
on x=21517..29129,y=8445..19558,z=-86160..-74234
on x=7605..17401,y=-27480..-3051,z=66012..93068
on x=48250..69867,y=-31582..-11779,z=-56446..-41985
on x=30111..42304,y=-78761..-42351,z=37002..41561
on x=-36891..-9404,y=-86518..-61745,z=26166..39934
on x=-63590..-34919,y=15132..31704,z=-63932..-48407
on x=-77664..-60473,y=-30186..-15049,z=-49261..-26017
on x=-10394..7444,y=9391..11534,z=61309..96960
on x=-61302..-46820,y=-61513..-47545,z=6430..32125
on x=-53453..-50770,y=24345..56020,z=-57501..-25958
on x=35507..53900,y=-45542..-16679,z=47346..57922
on x=49907..69107,y=16930..38051,z=-55262..-38287
on x=-42743..-9759,y=60466..91647,z=-15118..2553
on x=-38266..-19863,y=55550..63311,z=-53318..-27055
on x=16905..41490,y=-69890..-56924,z=-44140..-8205
on x=-7784..7941,y=75866..85826,z=9452..37078
on x=-74561..-58611,y=-46579..-25328,z=-30557..3529
on x=-1196..34343,y=-70013..-55588,z=-53911..-45594
on x=-84676..-65369,y=41869..61576,z=-9248..2231
on x=-72551..-47185,y=-9381..6167,z=37047..52656
on x=-11907..5784,y=4948..19640,z=73120..80649
on x=60584..84455,y=-24861..-3368,z=-48749..-21563
on x=29668..44628,y=57549..74598,z=-32991..-15066
